Sl No,State,2020 Accidents,2021 Accidents,2022 Accidents,2023 Accidents,2024 Accidents,Change from 2023 to 2024,% change from 2023 to 2024,2020 Ranking,2021 Ranking,2022 Ranking,2023 Ranking,2024 Ranking
1,Andhra Pradesh,19509.0,21556.0,21249.0,19949.0,19557.0,-392.0,-2.0,7.0,7.0,9.0,9.0,9.0
2,Arunachal Pradesh,134.0,283.0,227.0,287.0,277.0,-10.0,-3.5,32.0,28.0,31.0,29.0,27.0
3,Assam,6595.0,7411.0,7023.0,7421.0,7848.0,427.0,5.8,16.0,16.0,16.0,16.0,16.0
4,Bihar,8639.0,9553.0,10801.0,11014.0,11610.0,596.0,5.4,15.0,15.0,14.0,14.0,14.0
5,Chhattisgarh,11656.0,12375.0,13279.0,13468.0,14857.0,1389.0,10.3,11.0,11.0,12.0,12.0,11.0
6,Goa,2375.0,2849.0,3011.0,2846.0,2682.0,-164.0,-5.8,21.0,21.0,21.0,21.0,21.0
7,Gujarat,13398.0,15186.0,15751.0,16349.0,15588.0,-761.0,-4.7,10.0,10.0,10.0,10.0,10.0
8,Haryana,9431.0,9933.0,10429.0,10463.0,9806.0,-657.0,-6.3,14.0,14.0,15.0,15.0,15.0
9,Himachal Pradesh,2239.0,2404.0,2597.0,2253.0,2156.0,-97.0,-4.3,22.0,22.0,22.0,22.0,22.0
10,Jharkhand,4405.0,4728.0,5175.0,5315.0,5196.0,-119.0,-2.2,19.0,19.0,20.0,20.0,20.0
11,Karnataka,34178.0,34647.0,39762.0,43440.0,43062.0,-378.0,-0.9,4.0,4.0,5.0,5.0,5.0
12,Kerala,27877.0,33296.0,43910.0,48091.0,48834.0,743.0,1.5,5.0,5.0,3.0,3.0,
13,Madhya Pradesh,45266.0,48877.0,54432.0,55327.0,56669.0,1342.0,2.4,2.0,2.0,2.0,2.0,2.0
14,Maharashtra,24971.0,29477.0,33383.0,35243.0,36118.0,875.0,2.5,6.0,6.0,6.0,6.0,6.0
15,Manipur,432.0,366.0,508.0,398.0,299.0,-99.0,-24.9,27.0,27.0,26.0,26.0,26.0
16,Meghalaya,214.0,245.0,246.0,223.0,269.0,46.0,20.6,28.0,29.0,29.0,30.0,28.0
17,Mizoram,53.0,69.0,133.0,106.0,118.0,12.0,11.3,34.0,35.0,35.0,35.0,35.0
18,Nagaland,500.0,746.0,489.0,303.0,129.0,-174.0,-57.4,25.0,25.0,27.0,27.0,34.0
19,Odisha,9817.0,10983.0,11663.0,11992.0,12375.0,383.0,3.2,13.0,13.0,13.0,13.0,13.0
20,Punjab,5203.0,5871.0,6138.0,6269.0,6063.0,-206.0,-3.3,17.0,17.0,17.0,18.0,17.0
21,Rajasthan,19114.0,20951.0,23614.0,24694.0,24838.0,144.0,0.6,9.0,9.0,7.0,7.0,8.0
22,Sikkim,138.0,155.0,211.0,182.0,149.0,-33.0,-18.1,31.0,32.0,32.0,31.0,32.0
23,Tamil Nadu,49844.0,55682.0,64105.0,67213.0,67526.0,313.0,0.5,1.0,1.0,1.0,1.0,
24,Telangana,19172.0,21315.0,21619.0,22903.0,25986.0,3083.0,13.5,8.0,8.0,8.0,8.0,7.0
25,Tripura,466.0,479.0,575.0,577.0,578.0,1.0,0.2,26.0,26.0,25.0,25.0,25.0
26,Uttarakhand,1041.0,1405.0,1674.0,1691.0,1747.0,56.0,3.3,23.0,23.0,23.0,23.0,23.0
27,Uttar Pradesh,34243.0,37729.0,41746.0,44534.0,46052.0,1518.0,3.4,3.0,3.0,4.0,4.0,4.0
28,West Bengal,10863.0,11937.0,13686.0,13795.0,13702.0,-93.0,-0.7,12.0,12.0,11.0,11.0,12.0
29,Andaman & Nicobar Islands,141.0,115.0,141.0,143.0,135.0,-8.0,-5.6,30.0,34.0,34.0,34.0,33.0
30,Chandigarh,159.0,208.0,237.0,182.0,169.0,-13.0,-7.1,29.0,31.0,30.0,31.0,30.0
31,Dadra & Nagar Haveli and Daman & Diu,100.0,140.0,196.0,182.0,152.0,-30.0,-16.5,33.0,33.0,33.0,31.0,31.0
32,Delhi,4178.0,4720.0,5652.0,5834.0,5657.0,-177.0,-3.0,20.0,20.0,19.0,19.0,19.0
33,J & K,4860.0,5452.0,6092.0,6298.0,5808.0,-490.0,-7.8,18.0,18.0,18.0,17.0,18.0
34,Ladakh,,236.0,374.0,289.0,264.0,-25.0,-8.7,,,28.0,28.0,29.0
35,Lakshadweep,1.0,4.0,3.0,1.0,0.0,-1.0,-100.0,35.0,36.0,36.0,36.0,36.0
36,Puducherry,969.0,1049.0,1181.0,1308.0,1431.0,123.0,9.4,24.0,24.0,24.0,24.0,24.0
