Sl No,City,2023 Accidents,2024 Accidents,2023 Ranking Accidents,2024 Ranking Accidents,2023 Killed,2024 Killed,2023 Ranking Killed,2024 Ranking Killed,2023 Injured,2024 Injured,2023 Ranking Injured,2024 Ranking Injured
1.0,Agra,1007,1223,29.0,28.0,499,586,11.0,6.0,657,984,31.0,28.0
2.0,Ahmedabad,1767,1586,19.0,21.0,535,410,8.0,12.0,1347,1269,21.0,21.0
3.0,Allahabad (Prayagraj),1297,1246,24.0,27.0,582,547,5.0,9.0,865,832,28.0,30.0
4.0,Amritsar,147,111,50.0,50.0,110,78,48.0,48.0,73,57,50.0,50.0
5.0,Asansol Durgapur,500,480,42.0,42.0,353,305,17.0,23.0,271,291,44.0,44.0
6.0,Aurangabad,619,582,35.0,36.0,203,188,36.0,38.0,431,447,40.0,39.0
7.0,Bengaluru,4974,4769,2.0,2.0,915,894,2.0,2.0,4162,4022,3.0,3.0
8.0,Bhopal,2906,2900,9.0,10.0,196,235,39.0,30.0,2196,2223,15.0,14.0
9.0,Chandigarh,182,169,49.0,49.0,67,75,49.0,49.0,171,133,47.0,49.0
10.0,Chennai,3653,3762,4.0,5.0,503,542,10.0,10.0,3958,3970,4.0,4.0
11.0,Coimbatore,1161,1176,28.0,29.0,305,296,27.0,26.0,993,1052,24.0,26.0
12.0,Delhi,5834,5657,1.0,1.0,1457,1551,1.0,1.0,5470,5224,1.0,1.0
13.0,Dhanbad,435,349,46.0,47.0,306,211,26.0,35.0,135,197,49.0,47.0
14.0,Faridabad,598,592,37.0,35.0,269,232,28.0,32.0,485,468,38.0,37.0
15.0,Ghaziabad,991,996,30.0,30.0,365,381,16.0,14.0,703,781,30.0,31.0
16.0,Gwalior,2064,2040,16.0,16.0,344,351,19.0,17.0,1567,1585,18.0,18.0
17.0,Hyderabad,2943,3785,7.0,4.0,335,301,20.0,25.0,2596,3393,10.0,6.0
18.0,Indore,3566,3488,5.0,6.0,257,290,31.0,27.0,2806,2606,7.0,10.0
19.0,Jabalpur,4205,3928,3.0,3.0,545,589,7.0,5.0,4753,4720,2.0,2.0
20.0,Jaipur,2915,3115,8.0,9.0,849,860,3.0,3.0,2331,2580,11.0,11.0
21.0,Jamshedpur,329,348,47.0,48.0,218,236,33.0,29.0,214,217,45.0,46.0
22.0,Jodhpur,686,750,33.0,32.0,261,233,30.0,31.0,565,591,35.0,33.0
23.0,Kannur,1636,1718,20.0,19.0,117,125,46.0,46.0,2018,1991,16.0,16.0
24.0,Kanpur,1342,1448,23.0,22.0,638,560,4.0,8.0,985,1132,25.0,25.0
25.0,Khozikode,2194,2357,14.0,13.0,172,153,42.0,44.0,2265,2487,14.0,12.0
26.0,Kochi,2803,3167,10.0,8.0,177,172,41.0,40.0,2788,3243,8.0,7.0
27.0,Kolkata,1994,1942,17.0,18.0,159,191,44.0,37.0,1754,1724,17.0,17.0
28.0,Kollam,2136,1984,15.0,17.0,211,153,34.0,44.0,2318,2180,13.0,15.0
29.0,Kota,592,491,38.0,41.0,114,117,47.0,47.0,641,527,33.0,34.0
30.0,Lucknow,1460,1630,22.0,20.0,568,576,6.0,7.0,983,1165,26.0,22.0
31.0,Ludhiana,504,477,41.0,43.0,402,375,12.0,15.0,209,193,46.0,48.0
32.0,Madurai,768,645,32.0,34.0,264,228,29.0,33.0,583,468,34.0,37.0
33.0,Mallapuram,3253,3483,6.0,7.0,309,316,23.0,21.0,3801,3864,5.0,5.0
34.0,Meerut,939,911,31.0,31.0,395,390,13.0,13.0,848,931,29.0,29.0
35.0,Mumbai,2533,2604,12.0,11.0,384,370,14.0,16.0,2617,2722,9.0,9.0
36.0,Nagpur,1213,1255,27.0,26.0,308,345,25.0,19.0,1211,1281,23.0,20.0
37.0,Nashik,481,512,44.0,40.0,208,197,35.0,36.0,493,444,36.0,40.0
38.0,Patna,322,466,48.0,44.0,200,249,37.0,28.0,166,278,48.0,45.0
39.0,Pune,1230,1403,26.0,23.0,351,345,18.0,19.0,881,1041,27.0,27.0
40.0,Raipur,1961,2079,18.0,15.0,507,594,9.0,4.0,1440,1495,19.0,19.0
41.0,Rajkot,494,416,43.0,46.0,178,160,40.0,43.0,380,377,42.0,42.0
42.0,Srinagar,476,441,45.0,45.0,56,55,50.0,50.0,492,516,37.0,35.0
43.0,Surat,650,659,34.0,33.0,309,314,24.0,22.0,461,473,39.0,36.0
44.0,Thiruvanthapuram,2213,2292,13.0,14.0,137,170,45.0,41.0,2326,2377,12.0,13.0
45.0,Thrissur,2613,2411,11.0,12.0,231,213,32.0,34.0,3029,2761,6.0,8.0
46.0,Tiruchirapalli,619,563,35.0,37.0,165,164,43.0,42.0,652,636,32.0,32.0
47.0,Vadodra,566,557,39.0,38.0,199,183,38.0,39.0,404,432,41.0,41.0
48.0,Varanasi,558,538,40.0,39.0,327,304,21.0,24.0,344,362,43.0,43.0
49.0,Vijaywada city,1522,1343,21.0,24.0,373,430,15.0,11.0,1416,1156,20.0,24.0
50.0,Vizaq,1293,1283,25.0,25.0,322,346,22.0,18.0,1222,1158,22.0,23.0
