Sl No,State,2020 Killed,2021 Killed,2022 Killed,2023 Killed,2024 Killed,% change from 2023 to 2024,2020 Ranking,2021 Ranking,2022 Ranking,2023 Ranking,2024 Ranking
1,Andhra Pradesh,7039.0,8186.0,8293.0,8137.0,8346.0,2.57,7.0,7.0,8.0,8.0,8.0
2,Arunachal Pradesh,73.0,157.0,148.0,145.0,168.0,15.86,28.0,26.0,27.0,27.0,27.0
3,Assam,2629.0,3036.0,2994.0,3296.0,3351.0,1.67,18.0,18.0,18.0,18.0,18.0
4,Bihar,6699.0,7660.0,8898.0,8873.0,9347.0,5.34,9.0,8.0,7.0,7.0,7.0
5,Chhattisgarh,4606.0,5371.0,5834.0,6166.0,6945.0,12.63,13.0,12.0,12.0,11.0,11.0
6,Goa,223.0,226.0,271.0,290.0,286.0,-1.28,23.0,23.0,23.0,23.0,23.0
7,Gujarat,6170.0,7452.0,7618.0,7854.0,7717.0,-1.74,10.0,10.0,9.0,9.0,10.0
8,Haryana,4507.0,4706.0,4915.0,4968.0,4689.0,-5.62,14.0,14.0,14.0,14.0,15.0
9,Himachal Pradesh,893.0,1052.0,1032.0,889.0,869.0,-2.25,20.0,20.0,21.0,22.0,21.0
10,Jharkhand,3044.0,3513.0,3898.0,4173.0,4114.0,-1.41,16.0,16.0,17.0,16.0,16.0
11,Karnataka,9760.0,10038.0,11702.0,12321.0,12390.0,0.56,5.0,6.0,5.0,5.0,5.0
12,Kerala,2979.0,3429.0,4317.0,4080.0,3880.0,-4.9,17.0,17.0,16.0,17.0,17.0
13,Madhya Pradesh,11141.0,12057.0,13427.0,13798.0,14791.0,7.2,4.0,4.0,4.0,4.0,4.0
14,Maharashtra,11569.0,13528.0,15224.0,15366.0,15715.0,2.27,3.0,3.0,3.0,3.0,3.0
15,Manipur,127.0,110.0,127.0,73.0,72.0,-1.37,27.0,28.0,28.0,31.0,31.0
16,Meghalaya,144.0,187.0,162.0,168.0,197.0,17.26,26.0,25.0,26.0,25.0,26.0
17,Mizoram,42.0,56.0,113.0,96.0,110.0,14.58,33.0,31.0,29.0,28.0,28.0
18,Nagaland,53.0,55.0,73.0,86.0,62.0,-27.91,30.0,34.0,33.0,29.0,33.0
19,Odisha,4738.0,5081.0,5467.0,5739.0,6142.0,7.02,12.0,13.0,13.0,13.0,13.0
20,Punjab,3898.0,4589.0,4756.0,4829.0,4759.0,-1.45,15.0,15.0,15.0,15.0,14.0
21,Rajasthan,9250.0,10043.0,11104.0,11762.0,11790.0,0.24,6.0,5.0,6.0,6.0,6.0
22,Sikkim,47.0,56.0,92.0,57.0,67.0,17.54,32.0,31.0,30.0,34.0,32.0
23,Tamil Nadu,14527.0,15384.0,17884.0,18347.0,18449.0,0.56,2.0,2.0,2.0,2.0,2.0
24,Telangana,6882.0,7557.0,7559.0,7660.0,7949.0,3.77,8.0,9.0,10.0,10.0,9.0
25,Tripura,192.0,194.0,241.0,261.0,226.0,-13.41,24.0,24.0,24.0,24.0,24.0
26,Uttarakhand,674.0,820.0,1042.0,1054.0,1090.0,3.42,22.0,21.0,20.0,20.0,20.0
27,Uttar Pradesh,19149.0,21227.0,22595.0,23652.0,24118.0,1.97,1.0,1.0,1.0,1.0,1.0
28,West Bengal,5128.0,5800.0,6002.0,6027.0,6676.0,10.77,11.0,11.0,11.0,12.0,12.0
29,Andaman & Nicobar Islands,14.0,20.0,19.0,24.0,29.0,20.83,34.0,35.0,35.0,35.0,35.0
30,Chandigarh,53.0,96.0,83.0,67.0,75.0,11.94,30.0,29.0,32.0,32.0,30.0
31,Dadra & Nagar Haveli and Daman & Diu,64.0,76.0,90.0,74.0,95.0,28.38,29.0,30.0,31.0,30.0,29.0
32,Delhi,1196.0,1239.0,1461.0,1457.0,1551.0,6.45,19.0,19.0,19.0,19.0,19.0
33,J & K,728.0,774.0,805.0,893.0,831.0,-6.94,21.0,22.0,22.0,21.0,22.0
34,Ladakh,,56.0,62.0,59.0,61.0,3.39,,,34.0,33.0,34.0
35,Lakshadweep,0.0,1.0,2.0,0.0,0.0,0.0,35.0,36.0,36.0,36.0,36.0
36,Puducherry,145.0,140.0,181.0,149.0,218.0,46.31,25.0,27.0,25.0,26.0,25.0
