Sl No_acc,State,2020 Accidents,2021 Accidents,2022 Accidents,2023 Accidents,2024 Accidents,Change from 2023 to 2024,% change from 2023 to 2024_acc,2020 Ranking_acc,2021 Ranking_acc,2022 Ranking_acc,2023 Ranking_acc,2024 Ranking_acc,Sl No_fat,2020 Killed,2021 Killed,2022 Killed,2023 Killed,2024 Killed,% change from 2023 to 2024_fat,2020 Ranking_fat,2021 Ranking_fat,2022 Ranking_fat,2023 Ranking_fat,2024 Ranking_fat,Population_2011,Accidents_per_lakh_2024
29,Andaman & Nicobar Islands,141.0,115.0,141.0,143.0,135.0,-8.0,-5.6,30.0,34.0,34.0,34.0,33.0,29,14.0,20.0,19.0,24.0,29.0,20.83,34.0,35.0,35.0,35.0,35.0,379944,35.53155201819216
1,Andhra Pradesh,19509.0,21556.0,21249.0,19949.0,19557.0,-392.0,-2.0,7.0,7.0,9.0,9.0,9.0,1,7039.0,8186.0,8293.0,8137.0,8346.0,2.57,7.0,7.0,8.0,8.0,8.0,49577103,39.44764582149949
2,Arunachal Pradesh,134.0,283.0,227.0,287.0,277.0,-10.0,-3.5,32.0,28.0,31.0,29.0,27.0,2,73.0,157.0,148.0,145.0,168.0,15.86,28.0,26.0,27.0,27.0,27.0,1382611,20.03455780403888
3,Assam,6595.0,7411.0,7023.0,7421.0,7848.0,427.0,5.8,16.0,16.0,16.0,16.0,16.0,3,2629.0,3036.0,2994.0,3296.0,3351.0,1.67,18.0,18.0,18.0,18.0,18.0,31169272,25.178643890046583
4,Bihar,8639.0,9553.0,10801.0,11014.0,11610.0,596.0,5.4,15.0,15.0,14.0,14.0,14.0,4,6699.0,7660.0,8898.0,8873.0,9347.0,5.34,9.0,8.0,7.0,7.0,7.0,103804637,11.1844714605572
30,Chandigarh,159.0,208.0,237.0,182.0,169.0,-13.0,-7.1,29.0,31.0,30.0,31.0,30.0,30,53.0,96.0,83.0,67.0,75.0,11.94,30.0,29.0,32.0,32.0,30.0,1054686,16.023726493003604
5,Chhattisgarh,11656.0,12375.0,13279.0,13468.0,14857.0,1389.0,10.3,11.0,11.0,12.0,12.0,11.0,5,4606.0,5371.0,5834.0,6166.0,6945.0,12.63,13.0,12.0,12.0,11.0,11.0,25540196,58.17104927464143
31,Dadra & Nagar Haveli and Daman & Diu,100.0,140.0,196.0,182.0,152.0,-30.0,-16.5,33.0,33.0,33.0,31.0,31.0,31,64.0,76.0,90.0,74.0,95.0,28.38,29.0,30.0,31.0,30.0,29.0,585764,25.949017010263518
32,Delhi,4178.0,4720.0,5652.0,5834.0,5657.0,-177.0,-3.0,20.0,20.0,19.0,19.0,19.0,32,1196.0,1239.0,1461.0,1457.0,1551.0,6.45,19.0,19.0,19.0,19.0,19.0,16753235,33.76661283626714
6,Goa,2375.0,2849.0,3011.0,2846.0,2682.0,-164.0,-5.8,21.0,21.0,21.0,21.0,21.0,6,223.0,226.0,271.0,290.0,286.0,-1.28,23.0,23.0,23.0,23.0,23.0,1457723,183.98557201882662
7,Gujarat,13398.0,15186.0,15751.0,16349.0,15588.0,-761.0,-4.7,10.0,10.0,10.0,10.0,10.0,7,6170.0,7452.0,7618.0,7854.0,7717.0,-1.74,10.0,10.0,9.0,9.0,10.0,60383628,25.814944408441306
8,Haryana,9431.0,9933.0,10429.0,10463.0,9806.0,-657.0,-6.3,14.0,14.0,15.0,15.0,15.0,8,4507.0,4706.0,4915.0,4968.0,4689.0,-5.62,14.0,14.0,14.0,14.0,15.0,25353081,38.67774492575478
9,Himachal Pradesh,2239.0,2404.0,2597.0,2253.0,2156.0,-97.0,-4.3,22.0,22.0,22.0,22.0,22.0,9,893.0,1052.0,1032.0,889.0,869.0,-2.25,20.0,20.0,21.0,22.0,21.0,6856509,31.444573324413344
33,J & K,4860.0,5452.0,6092.0,6298.0,5808.0,-490.0,-7.8,18.0,18.0,18.0,17.0,18.0,33,728.0,774.0,805.0,893.0,831.0,-6.94,21.0,22.0,22.0,21.0,22.0,12274637,47.317081556057424
10,Jharkhand,4405.0,4728.0,5175.0,5315.0,5196.0,-119.0,-2.2,19.0,19.0,20.0,20.0,20.0,10,3044.0,3513.0,3898.0,4173.0,4114.0,-1.41,16.0,16.0,17.0,16.0,16.0,32966238,15.761580074741921
11,Karnataka,34178.0,34647.0,39762.0,43440.0,43062.0,-378.0,-0.9,4.0,4.0,5.0,5.0,5.0,11,9760.0,10038.0,11702.0,12321.0,12390.0,0.56,5.0,6.0,5.0,5.0,5.0,61130704,70.44250627311604
12,Kerala,27877.0,33296.0,43910.0,48091.0,48834.0,743.0,1.5,5.0,5.0,3.0,3.0,,12,2979.0,3429.0,4317.0,4080.0,3880.0,-4.9,17.0,17.0,16.0,17.0,17.0,33387677,146.26354507982091
34,Ladakh,,236.0,374.0,289.0,264.0,-25.0,-8.7,,,28.0,28.0,29.0,34,,56.0,62.0,59.0,61.0,3.39,,,34.0,33.0,34.0,274289,96.24884701902009
