Month,2020_Accidents,2020_Killed,2021_Accidents,2021_Killed,2022_Accidents,2022_Killed,2023_Accidents,2023_Killed,2024_Accidents,2024_Killed
January,40409,13529,40305,14575,37040,13677,41841,14610,40980,14398
February,39905,13823,37339,13864,36617,13536,39022,14279,40023,14477
March,32744,11646,39491,14579,40356,14859,40549,14907,43145,15809
April,8389,3388,31240,12226,39033,14530,39138,14438,41781,15683
May,20458,8261,22530,10338,43307,16791,43578,16718,43289,16070
June,27946,11048,29142,11985,39432,14762,40968,15253,40031,14929
July,27674,10527,32627,12275,36677,13119,38088,13381,36483,13033
August,29753,11419,33781,12109,36451,12758,38466,12843,37651,12959
September,31370,11722,33269,11553,34804,12071,38143,12732,37781,12841
October,35376,12991,36354,12763,38650,13796,40018,13822,41986,15047
November,38368,14624,37581,13623,38991,13888,39775,14524,42413,15922
December,39789,15405,38773,14082,39954,14704,40997,15383,42144,16007
