Year,Road accidents ('000),Road accident deaths ('000),Road accident injuries ('000),Registered vehicles ('000),Road length ('000 km),"Death rate per 10,000 vehicles",Vehicle density (no of vehicles per km of road),Road_length_provisional
2014,489,140.0,493.0,190704.0,5402.0,7.0,35.3,False
2015,506,147.0,504.0,210023.0,5472.0,7.0,38.38,False
2016,485,151.0,498.0,230031.0,5603.0,6.6,41.05,False
2017,469,150.0,467.0,253311.0,5898.0,5.9,42.95,False
2018,470,158.0,465.0,272587.0,6216.0,5.8,43.92,False
2019,457,159.0,449.0,295772.0,6332.0,5.4,46.71,False
2020,372,138.0,347.0,326299.0,6360.0,4.2,51.3,False
2021,412,154.0,384.0,335551.0,6498.0,4.6,51.64,True
2022,461,168.0,443.0,354018.0,6593.0,4.8,53.7,True
2023,481,173.0,463.0,,,,,False
2024,488,177.0,471.0,,,,,False
