State,Risk_tier
Andaman & Nicobar Islands,Medium
Andhra Pradesh,High
Arunachal Pradesh,Low
Assam,Medium
Bihar,Low
Chandigarh,Low
Chhattisgarh,High
Dadra & Nagar Haveli and Daman & Diu,Medium
Delhi,Medium
Goa,High
Gujarat,Medium
Haryana,High
Himachal Pradesh,Medium
J & K,High
Jharkhand,Low
Karnataka,High
Kerala,High
Ladakh,High
Madhya Pradesh,High
Maharashtra,Medium
Manipur,Low
Meghalaya,Low
Mizoram,Low
Nagaland,Low
Odisha,Medium
Puducherry,High
Punjab,Low
Rajasthan,Medium
Sikkim,Medium
Tamil Nadu,High
Telangana,High
Tripura,Low
Uttar Pradesh,Medium
Uttarakhand,Low
West Bengal,Low
